generated_at	2026-03-26T02:25:51Z
https://www.publico.pt/2023/05/11/azul/noticia/cidade-azul-andar-pe-moda-sustentavel-lixo-materiaprima-2049374	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/05/11/estudiop/noticia/reciclagem-embalagens-contributo-portugal-2049150	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/05/29/culturaipsilon/noticia/terca-tv-miss-marx-freeganismo-prisioneiros-guerra-2051446	assets/data/corpus.json
https://www.publico.pt/2023/05/30/azul/noticia/reciclagem-nao-solucao-plastico-preciso-mudar-descartavel-reutilizavel-2051525	assets/data/corpus.json
https://www.publico.pt/2023/06/01/azul/noticia/terco-pais-seca-severa-extrema-agua-solo-niveis-criticos-2051899	assets/data/corpus.json
https://www.publico.pt/2023/06/07/azul/noticia/alimentos-mau-estado-afectam-10-pessoas-causam-200-doencas-2052507	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/06/14/azul/noticia/ementas-sustentaveis-ha-criancas-viram-brocolos-primeira-escola-2050696	assets/data/corpus.json
https://www.publico.pt/2023/07/05/azul/noticia/desperdicio-alimentar-estadomembro-quinto-emissor-gases-ue-2055791	assets/data/corpus.json, assets/data/corpus_core.json, assets/data/featured.json
https://www.publico.pt/2023/07/07/azul/noticia/podcast-proprio-consumo-repensar-sistema-alimentar-crise-climatica-2055977	assets/data/corpus.json
https://www.publico.pt/2023/07/10/fugas/noticia/lisboa-avenida-sushicafe-propoe-jantar-sabor-japones-vinho-portugues-2056084	assets/data/corpus.json
https://www.publico.pt/2023/07/31/azul/noticia/proprio-consumo-bom-pao-nasce-2058711	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/08/02/azul/noticia/duvida-podemos-comer-alimento-cortamos-parte-bolor-2058105	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/08/12/azul/noticia/portugueses-desperdicam-comida-verao-especialmente-fruta-2059917	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/08/20/azul/noticia/guia-compostagem-casa-2060028	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/08/30/azul/noticia/duvida-desperdicio-alimentar-contribui-crise-climatica-2061547	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/08/31/terroir/noticia/cremes-infusoes-bolachas-dao-nova-vida-engaco-subprodutos-vinha-2061795	assets/data/corpus.json
https://www.publico.pt/2023/09/19/azul/noticia/precisa-talheres-simples-pergunta-fez-diferenca-china-2063789	assets/data/corpus.json
https://www.publico.pt/2023/09/20/impar/noticia/cozinhar-desperdicio-chef-kiko-tia-catia-joana-barrios-ajudam-fazem-festa-2064007	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/09/25/estudiop/noticia/compras-sustentaveis-2063943	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/09/26/azul/noticia/paciente-internado-geramse-ate-oito-quilos-residuos-dia-2064609	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/09/29/impar/opiniao/desperdicio-alimentar-calcanhar-aquiles-casa-2064951	assets/data/corpus.json, assets/data/corpus_core.json, assets/data/featured.json
https://www.publico.pt/2023/10/04/estudiop/noticia/tetra-pak-refood-lancam-campanha-reciclar-alimenta-2065048	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/10/13/fugas/perfil/mostrar-respeito-dar-residentes-capacidade-decidirem-turismo-querem-2066419	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/10/16/politica/noticia/desperdicio-ps-quer-obrigar-supermercados-doar-alimentos-fim-prazo-ipss-2066777	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/10/18/azul/opiniao/futuro-embalagens-reutilizaveis-jogo-2066879	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/10/29/ciencia/noticia/comer-folhas-cenoura-talos-couve-prol-planeta-2067279	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/11/07/p3/cronica/natal-tempo-2069258	assets/data/corpus.json
https://www.publico.pt/2023/11/09/local/noticia/hortee-mercados-biologicos-porto-estao-online-2069638	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/11/14/impar/noticia/carlos-iii-faz-75-anos-celebra-lancamento-projecto-fome-desperdicio-2070189	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2023/11/18/p3/noticia/dietas-cereais-sao-melhores-piores-caes-2068595	assets/data/corpus.json
https://www.publico.pt/2023/11/21/impar/noticia/feng-shui-frigorifico-evitar-desperdicio-2071024	assets/data/corpus.json
